Marker	Fig_lab	engraft	tUniq	rUniq	Treatment	Remission
BKODAF_1986635	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986660	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986665	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986690	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1989215	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1989220	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1997195	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1997265	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1997320	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2011745	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2011750	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2011775	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2011780	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2022745	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2037010	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2039355	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2044885	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2046690	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2046695	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2046700	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2048470	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2062230	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2065280	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2065545	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2079920	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2084995	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2093235	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2098975	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2102475	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2107470	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2110850	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2115775	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2115785	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2116160	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2132835	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2132880	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2132930	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2139725	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2143095	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2144390	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145045	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145065	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145110	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145135	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145165	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145360	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145365	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2145370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2182725	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2190300	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2190355	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2190380	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2225185	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2225240	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2227405	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2233500	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2233515	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2246110	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2249740	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2249835	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2250060	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2267605	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2274560	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2274575	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2274625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2274710	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2274715	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2309030	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2312220	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2314385	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2314415	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2314460	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2316510	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2319115	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2319120	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2324685	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2331770	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2334255	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2351385	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2351415	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2371885	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2371890	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2371920	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2371925	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2371940	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373605	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373610	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373615	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373620	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373630	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373635	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373640	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373645	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2373650	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2375380	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2383735	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2384390	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2387900	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2387950	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2387990	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2388025	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2391475	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2391510	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2393150	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_2393170	*pt10	1	FMT	F-Res	FMT	Res
