"","sample","bin_id","bin_len","bin_covbases","bin_numreads","bin_coverage"
"356","DonorB_D_2016","bin_363",2080352,231070,5701,11.1072549260894
"357","DonorB_D_2016","bin_365",1684807,411051,5759,24.3975125934306
"358","DonorB_D_2016","bin_367",3464344,50944,5516,1.47052371242579
"359","DonorB_D_2016","bin_368",1217972,320002,5576,26.2733461852982
"360","DonorB_D_2016","bin_369",4101997,4099844,930796,99.9475133697075
"361","DonorB_D_2016","bin_370",2348593,297225,13360,12.6554494542051
"362","DonorB_D_2016","bin_375",2668811,199634,4625,7.48025993597898
"363","DonorB_D_2016","bin_377",2317339,1632065,28462,70.4284094817374
"364","DonorB_D_2016","bin_378",1559599,58686,3676,3.76289033270732
"365","DonorB_D_2016","bin_380",2726751,1360628,27924,49.8992390577651
"366","DonorB_D_2016","bin_381",4545961,97680,8757,2.14872058955191
"367","DonorB_D_2016","bin_385",1662402,18662,2458,1.12259248966255
"368","DonorB_D_2016","bin_386",1426502,31585,4121,2.21415742845085
"369","DonorB_D_2016","bin_387",1689673,1344727,26552,79.5850439700463
"370","DonorB_D_2016","bin_390",2292109,364627,10332,15.9079258447133
"371","DonorB_D_2016","bin_393",2026581,24353,3111,1.20167908413234
"372","DonorB_D_2016","bin_394",1438968,1413010,42890,98.196068293388
"373","DonorB_D_2016","bin_395",2876886,2393258,44470,83.1891844167617
"374","DonorB_D_2016","bin_396",2108454,1506642,19941,71.4571909085994
"375","DonorB_D_2016","bin_397",2801538,149076,10008,5.32121998702141
"376","DonorB_D_2016","bin_40",2447716,903276,12740,36.9028106201863
"377","DonorB_D_2016","bin_403",2024094,1163255,16319,57.4704040425
"378","DonorB_D_2016","bin_404",2339711,868984,11939,37.1406554057317
"379","DonorB_D_2016","bin_405",2390384,2343343,81476,98.0320735078548
"380","DonorB_D_2016","bin_407",2299373,193246,4730,8.40429108282997
"381","DonorB_D_2016","bin_412",1663969,39273,2700,2.36020022007622
