"","marker.id","X1","X2","X3"
"123","t__SGB10068","PMCL656.mp","PMCL684_S300.mp",0.272558492281998
"124","t__SGB10068","PMCL656.mp","PMCL741_S314.mp",0.280373116672805
"125","t__SGB10068","PMCL656.mp","PMCL823.mp",0.365206771964005
"126","t__SGB10068","PMCL656.mp","PMCL822.mp",0.365767438393304
"127","t__SGB10068","PMCL656.mp","PMCL813.mp",0.358584969193709
"128","t__SGB10068","PMCL656.mp","PMCL818.mp",0.318656352684975
"129","t__SGB10068","PMCL656.mp","PMCL821_S310.mp",0.309798757663431
"130","t__SGB10068","PMCL656.mp","PMCL820_S309.mp",0.300125449386475
"131","t__SGB10068","PMCL656.mp","PMCL805_S307.mp",0.333408860603619
"132","t__SGB10068","PMCL656.mp","PMCL731_S312.mp",0.295813679239147
"133","t__SGB10068","PMCL293_S293.mp","PMCL719_S304.mp",0.267616274923708
"134","t__SGB10068","PMCL293_S293.mp","PMCL657.mp",0.206513678078489
"135","t__SGB10068","PMCL293_S293.mp","PMCL656.mp",0.206513678078489
"136","t__SGB10068","PMCL293_S293.mp","PMCL684_S300.mp",0.0660458551362989
"137","t__SGB10068","PMCL293_S293.mp","PMCL741_S314.mp",0.0738604795271051
"138","t__SGB10068","PMCL293_S293.mp","PMCL636_S295.mp",0.240765598060757
"139","t__SGB10068","PMCL293_S293.mp","PMCL823.mp",0.260908605667408
"140","t__SGB10068","PMCL293_S293.mp","PMCL822.mp",0.261469272096707
"141","t__SGB10068","PMCL293_S293.mp","PMCL813.mp",0.254286802897112
"142","t__SGB10068","PMCL293_S293.mp","PMCL818.mp",0.214358186388378
"143","t__SGB10068","PMCL293_S293.mp","PMCL821_S310.mp",0.205500591366834
"144","t__SGB10068","PMCL293_S293.mp","PMCL820_S309.mp",0.195827283089878
"145","t__SGB10068","PMCL293_S293.mp","PMCL805_S307.mp",0.229110694307022
"146","t__SGB10068","PMCL293_S293.mp","PMCL731_S312.mp",0.19151551294255
"147","t__SGB10068","PMCL684_S300.mp","PMCL719_S304.mp",0.333661089127217
"148","t__SGB10068","PMCL684_S300.mp","PMCL741_S314.mp",0.0176254999875507
"149","t__SGB10068","PMCL684_S300.mp","PMCL823.mp",0.326953419870918
"150","t__SGB10068","PMCL684_S300.mp","PMCL822.mp",0.327514086300217
"151","t__SGB10068","PMCL684_S300.mp","PMCL813.mp",0.320331617100622
"152","t__SGB10068","PMCL684_S300.mp","PMCL818.mp",0.280403000591888
"153","t__SGB10068","PMCL684_S300.mp","PMCL821_S310.mp",0.271545405570343
"154","t__SGB10068","PMCL684_S300.mp","PMCL820_S309.mp",0.261872097293388
"155","t__SGB10068","PMCL684_S300.mp","PMCL805_S307.mp",0.295155508510531
"156","t__SGB10068","PMCL684_S300.mp","PMCL731_S312.mp",0.25756032714606
"157","t__SGB10068","PMCL741_S314.mp","PMCL823.mp",0.334768044261724
"158","t__SGB10068","PMCL741_S314.mp","PMCL822.mp",0.335328710691023
"159","t__SGB10068","PMCL741_S314.mp","PMCL813.mp",0.328146241491428
"160","t__SGB10068","PMCL741_S314.mp","PMCL818.mp",0.288217624982694
"161","t__SGB10068","PMCL741_S314.mp","PMCL821_S310.mp",0.279360029961149
"162","t__SGB10068","PMCL741_S314.mp","PMCL820_S309.mp",0.269686721684194
"163","t__SGB10068","PMCL741_S314.mp","PMCL805_S307.mp",0.302970132901337
"164","t__SGB10068","PMCL636_S295.mp","PMCL719_S304.mp",0.332903550050254
"165","t__SGB10068","PMCL636_S295.mp","PMCL657.mp",0.345063764357354
"166","t__SGB10068","PMCL636_S295.mp","PMCL656.mp",0.345063764357354
"167","t__SGB10068","PMCL636_S295.mp","PMCL684_S300.mp",0.306810412264267
"168","t__SGB10068","PMCL636_S295.mp","PMCL741_S314.mp",0.314625036655073
"169","t__SGB10068","PMCL636_S295.mp","PMCL823.mp",0.117007858666281
"170","t__SGB10068","PMCL636_S295.mp","PMCL822.mp",0.117568525095581
"171","t__SGB10068","PMCL636_S295.mp","PMCL813.mp",0.128988128154189
"172","t__SGB10068","PMCL636_S295.mp","PMCL818.mp",0.0890595116454548
"173","t__SGB10068","PMCL636_S295.mp","PMCL821_S310.mp",0.0802019166239103
"174","t__SGB10068","PMCL636_S295.mp","PMCL820_S309.mp",0.0705286083469551
"175","t__SGB10068","PMCL636_S295.mp","PMCL805_S307.mp",0.130602060014795
"176","t__SGB10068","PMCL636_S295.mp","PMCL731_S312.mp",0.119674013035245
"177","t__SGB10068","PMCL822.mp","PMCL823.mp",0.00056170736208875
"178","t__SGB10068","PMCL813.mp","PMCL823.mp",0.14913113576084
"179","t__SGB10068","PMCL813.mp","PMCL822.mp",0.149691802190139
"180","t__SGB10068","PMCL813.mp","PMCL818.mp",0.0576458884174016
"181","t__SGB10068","PMCL813.mp","PMCL821_S310.mp",0.0487882933958571
"182","t__SGB10068","PMCL813.mp","PMCL820_S309.mp",0.0602965526841042
"183","t__SGB10068","PMCL818.mp","PMCL823.mp",0.109202519252106
"184","t__SGB10068","PMCL818.mp","PMCL822.mp",0.109763185681405
"185","t__SGB10068","PMCL818.mp","PMCL821_S310.mp",0.00885863595433385
"186","t__SGB10068","PMCL818.mp","PMCL820_S309.mp",0.0203679361753703
"187","t__SGB10068","PMCL821_S310.mp","PMCL823.mp",0.100344924230561
"188","t__SGB10068","PMCL821_S310.mp","PMCL822.mp",0.100905590659861
"189","t__SGB10068","PMCL820_S309.mp","PMCL823.mp",0.0906716159536061
"190","t__SGB10068","PMCL820_S309.mp","PMCL822.mp",0.0912322823829056
"191","t__SGB10068","PMCL820_S309.mp","PMCL821_S310.mp",0.0115103411538258
"192","t__SGB10068","PMCL805_S307.mp","PMCL823.mp",0.150745067621446
"193","t__SGB10068","PMCL805_S307.mp","PMCL822.mp",0.151305734050745
"194","t__SGB10068","PMCL805_S307.mp","PMCL813.mp",0.14412326485115
"195","t__SGB10068","PMCL805_S307.mp","PMCL818.mp",0.104194648342416
"196","t__SGB10068","PMCL805_S307.mp","PMCL821_S310.mp",0.0953370533208716
"197","t__SGB10068","PMCL805_S307.mp","PMCL820_S309.mp",0.0856637450439164
"198","t__SGB10068","PMCL731_S312.mp","PMCL741_S314.mp",0.265374951536866
"199","t__SGB10068","PMCL731_S312.mp","PMCL823.mp",0.139817020641896
"200","t__SGB10068","PMCL731_S312.mp","PMCL822.mp",0.140377687071195
"201","t__SGB10068","PMCL731_S312.mp","PMCL813.mp",0.1331952178716
"202","t__SGB10068","PMCL731_S312.mp","PMCL818.mp",0.093266601362866
"203","t__SGB10068","PMCL731_S312.mp","PMCL821_S310.mp",0.0844090063413214
"204","t__SGB10068","PMCL731_S312.mp","PMCL820_S309.mp",0.0747356980643662
"205","t__SGB10068","PMCL731_S312.mp","PMCL805_S307.mp",0.108019109281509
"206","t__SGB10068","DonorB_D_May17.mp","DonorB_P13.mp",0.0989450429395862
"207","t__SGB10068","DonorB_D_May17.mp","DonorB_P12.mp",0.0989450429395862
"208","t__SGB10068","DonorB_D_May17.mp","DonorB_P1.mp",0.0900165579261373
"209","t__SGB10068","DonorB_D_May17.mp","DonorB_P4.mp",0.08805059778367
"210","t__SGB10068","DonorB_D_May17.mp","DonorB_P2.mp",0.0882857124068441
"211","t__SGB10068","DonorB_D_May17.mp","PMCL719_S304.mp",0.339786328669056
"212","t__SGB10068","DonorB_D_May17.mp","PMCL657.mp",0.351946542976156
"213","t__SGB10068","DonorB_D_May17.mp","PMCL656.mp",0.351946542976156
"214","t__SGB10068","DonorB_D_May17.mp","PMCL293_S293.mp",0.247648376679559
"215","t__SGB10068","DonorB_D_May17.mp","PMCL684_S300.mp",0.313693190883069
"216","t__SGB10068","DonorB_D_May17.mp","PMCL741_S314.mp",0.321507815273875
"217","t__SGB10068","DonorB_D_May17.mp","PMCL636_S295.mp",0.175806876772254
"218","t__SGB10068","DonorB_D_May17.mp","PMCL823.mp",0.195949884378905
"219","t__SGB10068","DonorB_D_May17.mp","PMCL822.mp",0.196510550808204
"220","t__SGB10068","DonorB_D_May17.mp","PMCL813.mp",0.189328081608609
"221","t__SGB10068","DonorB_D_May17.mp","PMCL818.mp",0.149399465099875
"222","t__SGB10068","DonorB_D_May17.mp","PMCL821_S310.mp",0.140541870078331
"223","t__SGB10068","DonorB_D_May17.mp","PMCL820_S309.mp",0.130868561801375
"224","t__SGB10068","DonorB_D_May17.mp","PMCL805_S307.mp",0.164151973018518
"225","t__SGB10068","DonorB_D_May17.mp","PMCL731_S312.mp",0.0918557593624226
"226","t__SGB10068","DonorB_D_May17.mp","DonorB_D_Oct17.mp",0.0647886007744721
"227","t__SGB10068","DonorB_D_May17.mp","DonorB_P8.mp",0.0880511182500647
"228","t__SGB10068","DonorB_D_May17.mp","DonorB_P3.mp",0.0880516387164594
"229","t__SGB10068","DonorB_D_May17.mp","DonorB_P6.mp",0.0989440020067968
"230","t__SGB10068","DonorB_D_May17.mp","DonorB_P10.mp",0.0989445224731915
"231","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P13.mp",0.056590005689098
"232","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P12.mp",0.056590005689098
"233","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P1.mp",0.0476615206756492
"234","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P4.mp",0.0456955605331819
"235","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P2.mp",0.045930675156356
"236","t__SGB10068","DonorB_D_Oct17.mp","PMCL719_S304.mp",0.297431291418568
"237","t__SGB10068","DonorB_D_Oct17.mp","PMCL657.mp",0.309591505725668
"238","t__SGB10068","DonorB_D_Oct17.mp","PMCL656.mp",0.309591505725668
"239","t__SGB10068","DonorB_D_Oct17.mp","PMCL293_S293.mp",0.205293339429071
"240","t__SGB10068","DonorB_D_Oct17.mp","PMCL684_S300.mp",0.271338153632581
"241","t__SGB10068","DonorB_D_Oct17.mp","PMCL741_S314.mp",0.279152778023387
"242","t__SGB10068","DonorB_D_Oct17.mp","PMCL636_S295.mp",0.133451839521766
"243","t__SGB10068","DonorB_D_Oct17.mp","PMCL823.mp",0.153594847128417
"244","t__SGB10068","DonorB_D_Oct17.mp","PMCL822.mp",0.154155513557716
"245","t__SGB10068","DonorB_D_Oct17.mp","PMCL813.mp",0.146973044358121
"246","t__SGB10068","DonorB_D_Oct17.mp","PMCL818.mp",0.107044427849387
"247","t__SGB10068","DonorB_D_Oct17.mp","PMCL821_S310.mp",0.0981868328278425
"248","t__SGB10068","DonorB_D_Oct17.mp","PMCL820_S309.mp",0.0885135245508873
"249","t__SGB10068","DonorB_D_Oct17.mp","PMCL805_S307.mp",0.12179693576803
"250","t__SGB10068","DonorB_D_Oct17.mp","PMCL731_S312.mp",0.0495007221119345
"251","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P8.mp",0.0456960809995766
"252","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P3.mp",0.0456966014659713
"253","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P6.mp",0.0565889647563087
"254","t__SGB10068","DonorB_D_Oct17.mp","DonorB_P10.mp",0.0565894852227034
"255","t__SGB10068","DonorB_P8.mp","PMCL719_S304.mp",0.256151320861762
"256","t__SGB10068","DonorB_P8.mp","PMCL657.mp",0.268311535168862
"257","t__SGB10068","DonorB_P8.mp","PMCL656.mp",0.268311535168862
"258","t__SGB10068","DonorB_P8.mp","PMCL293_S293.mp",0.164013368872265
"259","t__SGB10068","DonorB_P8.mp","PMCL684_S300.mp",0.230058183075775
"260","t__SGB10068","DonorB_P8.mp","PMCL741_S314.mp",0.237872807466581
"261","t__SGB10068","DonorB_P8.mp","PMCL636_S295.mp",0.0921718689649597
"262","t__SGB10068","DonorB_P8.mp","PMCL823.mp",0.112314876571611
"263","t__SGB10068","DonorB_P8.mp","PMCL822.mp",0.11287554300091
"264","t__SGB10068","DonorB_P8.mp","PMCL813.mp",0.105693073801315
"265","t__SGB10068","DonorB_P8.mp","PMCL818.mp",0.0657644572925809
"266","t__SGB10068","DonorB_P8.mp","PMCL821_S310.mp",0.0569068622710364
"267","t__SGB10068","DonorB_P8.mp","PMCL820_S309.mp",0.0472335539940812
"268","t__SGB10068","DonorB_P8.mp","PMCL805_S307.mp",0.0805169652112243
"269","t__SGB10068","DonorB_P8.mp","PMCL731_S312.mp",0.0319182545130555
"270","t__SGB10068","DonorB_P3.mp","DonorB_P4.mp",2.08186557866098e-06
"271","t__SGB10068","DonorB_P3.mp","PMCL719_S304.mp",0.256151841328157
"272","t__SGB10068","DonorB_P3.mp","PMCL657.mp",0.268312055635257
"273","t__SGB10068","DonorB_P3.mp","PMCL656.mp",0.268312055635257
"274","t__SGB10068","DonorB_P3.mp","PMCL293_S293.mp",0.16401388933866
"275","t__SGB10068","DonorB_P3.mp","PMCL684_S300.mp",0.230058703542169
"276","t__SGB10068","DonorB_P3.mp","PMCL741_S314.mp",0.237873327932976
"277","t__SGB10068","DonorB_P3.mp","PMCL636_S295.mp",0.0921723894313544
"278","t__SGB10068","DonorB_P3.mp","PMCL823.mp",0.112315397038005
"279","t__SGB10068","DonorB_P3.mp","PMCL822.mp",0.112876063467305
"280","t__SGB10068","DonorB_P3.mp","PMCL813.mp",0.105693594267709
"281","t__SGB10068","DonorB_P3.mp","PMCL818.mp",0.0657649777589756
"282","t__SGB10068","DonorB_P3.mp","PMCL821_S310.mp",0.0569073827374311
"283","t__SGB10068","DonorB_P3.mp","PMCL820_S309.mp",0.0472340744604759
"284","t__SGB10068","DonorB_P3.mp","PMCL805_S307.mp",0.080517485677619
"285","t__SGB10068","DonorB_P3.mp","PMCL731_S312.mp",0.0319187749794502
"286","t__SGB10068","DonorB_P3.mp","DonorB_P8.mp",1.56139918399573e-06
"287","t__SGB10068","DonorB_P3.mp","DonorB_P6.mp",0.0108934042231268
"288","t__SGB10068","DonorB_P6.mp","PMCL719_S304.mp",0.267044204618494
"289","t__SGB10068","DonorB_P6.mp","PMCL657.mp",0.279204418925594
"290","t__SGB10068","DonorB_P6.mp","PMCL656.mp",0.279204418925594
"291","t__SGB10068","DonorB_P6.mp","PMCL293_S293.mp",0.174906252628997
"292","t__SGB10068","DonorB_P6.mp","PMCL684_S300.mp",0.240951066832507
"293","t__SGB10068","DonorB_P6.mp","PMCL741_S314.mp",0.248765691223313
"294","t__SGB10068","DonorB_P6.mp","PMCL636_S295.mp",0.103064752721692
"295","t__SGB10068","DonorB_P6.mp","PMCL823.mp",0.123207760328343
"296","t__SGB10068","DonorB_P6.mp","PMCL822.mp",0.123768426757642
"297","t__SGB10068","DonorB_P6.mp","PMCL813.mp",0.116585957558047
"298","t__SGB10068","DonorB_P6.mp","PMCL818.mp",0.0766573410493131
"299","t__SGB10068","DonorB_P6.mp","PMCL821_S310.mp",0.0677997460277685
"300","t__SGB10068","DonorB_P6.mp","PMCL820_S309.mp",0.0581264377508133
"301","t__SGB10068","DonorB_P6.mp","PMCL805_S307.mp",0.0914098489679564
"302","t__SGB10068","DonorB_P6.mp","PMCL731_S312.mp",0.0428111382697877
"303","t__SGB10068","DonorB_P6.mp","DonorB_P8.mp",0.0108939246895214
"304","t__SGB10068","DonorB_P10.mp","DonorB_P13.mp",1.56139918399573e-06
"305","t__SGB10068","DonorB_P10.mp","DonorB_P12.mp",1.56139918399573e-06
"306","t__SGB10068","DonorB_P10.mp","DonorB_P4.mp",0.0108949656223108
"307","t__SGB10068","DonorB_P10.mp","DonorB_P2.mp",0.0155441088226767
"308","t__SGB10068","DonorB_P10.mp","PMCL719_S304.mp",0.267044725084889
"309","t__SGB10068","DonorB_P10.mp","PMCL657.mp",0.279204939391989
"310","t__SGB10068","DonorB_P10.mp","PMCL656.mp",0.279204939391989
"311","t__SGB10068","DonorB_P10.mp","PMCL293_S293.mp",0.174906773095392
"312","t__SGB10068","DonorB_P10.mp","PMCL684_S300.mp",0.240951587298901
"313","t__SGB10068","DonorB_P10.mp","PMCL741_S314.mp",0.248766211689708
"314","t__SGB10068","DonorB_P10.mp","PMCL636_S295.mp",0.103065273188086
"315","t__SGB10068","DonorB_P10.mp","PMCL823.mp",0.123208280794738
"316","t__SGB10068","DonorB_P10.mp","PMCL822.mp",0.123768947224037
"317","t__SGB10068","DonorB_P10.mp","PMCL813.mp",0.116586478024442
"318","t__SGB10068","DonorB_P10.mp","PMCL818.mp",0.0766578615157077
"319","t__SGB10068","DonorB_P10.mp","PMCL821_S310.mp",0.0678002664941632
"320","t__SGB10068","DonorB_P10.mp","PMCL820_S309.mp",0.058126958217208
"321","t__SGB10068","DonorB_P10.mp","PMCL805_S307.mp",0.0914103694343511
"322","t__SGB10068","DonorB_P10.mp","PMCL731_S312.mp",0.0428116587361823
"323","t__SGB10068","DonorB_P10.mp","DonorB_P8.mp",0.0108944451559161
"324","t__SGB10068","DonorB_P10.mp","DonorB_P3.mp",0.0108939246895214
"325","t__SGB10068","DonorB_P10.mp","DonorB_P6.mp",1.56139918399573e-06
"326","t__SGB12676","DonorB_P13.mp","DonorB_P6.mp",0.517137511748538
"327","t__SGB12676","DonorB_P13.mp","DonorB_P2.mp",1.64240566602257e-07
"328","t__SGB12676","DonorB_P13.mp","DonorB_P3.mp",1.64240566602257e-07
"329","t__SGB12676","DonorB_P1.mp","DonorB_P13.mp",0.482862433504606
"330","t__SGB12676","DonorB_P1.mp","DonorB_P6.mp",0.999999726265722
"331","t__SGB12676","DonorB_P1.mp","DonorB_P2.mp",0.482862488251462
"332","t__SGB12676","DonorB_P1.mp","DonorB_P3.mp",0.482862488251462
