#mpa_vJan21_CHOCOPhlAnSGB_202103
#clade_name	relative_abundance
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	0.5498700000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28	0.01441
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.09774
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.00417
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.07887999999999999
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	1.0921900000000002
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.22716
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	0.0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales	0.0
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.13326
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1810	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.04954
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	0.0067
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales	0.0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales	0.0
d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales	0.0
