DonorB_D_2013.mp.profile_sp	DonorB_D_2016.mp.profile_sp	DonorB_D_May17.mp.profile_sp	DonorB_D_Oct17.mp.profile_sp	DonorB_P10.mp.profile_sp	DonorB_P11.mp.profile_sp	DonorB_P12.mp.profile_sp	DonorB_P13.mp.profile_sp	DonorB_P1.mp.profile_sp	DonorB_P2.mp.profile_sp	DonorB_P3.mp.profile_sp	DonorB_P4.mp.profile_sp	DonorB_P5.mp.profile_sp	DonorB_P6.mp.profile_sp	DonorB_P7.mp.profile_sp	DonorB_P8.mp.profile_sp	DonorB_P9.mp.profile_sp	PMCL293_S293.mp.profile_sp	PMCL297_S294.mp.profile_sp	PMCL356.mp.profile_sp	PMCL360.mp.profile_sp	PMCL380.mp.profile_sp	PMCL385.mp.profile_sp	PMCL399_S310.mp.profile_sp	PMCL402_S311.mp.profile_sp	PMCL634_S291.mp.profile_sp	PMCL635_S292.mp.profile_sp	PMCL636_S295.mp.profile_sp	PMCL637_S296.mp.profile_sp	PMCL656.mp.profile_sp	PMCL657.mp.profile_sp	PMCL662_S297.mp.profile_sp	PMCL663_S298.mp.profile_sp	PMCL683_S299.mp.profile_sp	PMCL684_S300.mp.profile_sp	PMCL706_S301.mp.profile_sp	PMCL708_S302.mp.profile_sp	PMCL718_S303.mp.profile_sp	PMCL719_S304.mp.profile_sp	PMCL720.mp.profile_sp	PMCL721.mp.profile_sp	PMCL726.mp.profile_sp	PMCL727.mp.profile_sp	PMCL730_S311.mp.profile_sp	PMCL731_S312.mp.profile_sp	PMCL734_S305.mp.profile_sp	PMCL735_S306.mp.profile_sp	PMCL740_S313.mp.profile_sp	PMCL741_S314.mp.profile_sp	PMCL796.mp.profile_sp	PMCL797.mp.profile_sp	PMCL800.mp.profile_sp	PMCL801.mp.profile_sp	PMCL805_S307.mp.profile_sp	PMCL806_S308.mp.profile_sp	PMCL813.mp.profile_sp	PMCL817.mp.profile_sp	PMCL818.mp.profile_sp	PMCL820_S309.mp.profile_sp	PMCL821_S310.mp.profile_sp	PMCL822.mp.profile_sp	PMCL823.mp.profile_sp	PMCL824.mp.profile_sp	PMCL825.mp.profile_sp	PMCL883.mp.profile_sp
DonorB_P3.mp.profile_sp	35.4806830369736	35.8584550297481	36.0861240959745	37.0009932302453	29.3946776198004	29.8896103665937	27.5886258052125	27.5419624666374	28.8264798230908	24.701982234721	0	31.5601321329721	34.1914794396789	29.98206364671	35.8164925809048	29.9255242644202	29.5231396443823	28.2706230423869	24.0640367216187	32.7174651670105	34.5238585060758	28.9557571221225	36.1574176290767	28.734042384448	26.9686890063271	36.1438245501972	34.71826298447	28.0256900280933	31.3258352317674	34.2564544119398	33.1747054058211	26.8598267586177	25.9843996359037	24.9551498755241	27.6543967837495	22.9794441626161	26.1601486026486	24.1084014522162	25.3510351762577	28.376241760022	29.2910152956146	32.2278649350796	29.9601995591592	37.9681967028113	38.8005165710523	31.2470204729846	34.0865024010516	26.3073475759105	27.4160901925209	28.4839203764858	29.465405927156	29.8469500918541	29.6135832236151	32.767691413676	27.9591500622216	31.2500367357894	24.8066018555335	25.5467701964034	26.6650357312974	27.6638595595097	27.8270375164976	27.9421452443754	30.4937867914506	31.4882478921691	26.8608111916902
DonorB_P4.mp.profile_sp	37.341924346274	38.0586793679937	39.1426200340589	37.9904664746122	29.5484691844706	30.2816133045958	31.2969482575104	28.6854955744765	31.0337033385675	31.55323283979	31.5601321329721	0	31.9893304446441	32.1145411109696	36.9040042767711	30.0472180165992	33.1178323396148	29.2928605320431	27.8002101090342	33.6446197741833	35.1362829442252	33.5716119076444	38.0015084017945	29.8325095258668	28.6863449813477	37.7907776700607	39.9468043882381	30.5855203062265	34.662684518383	37.7121391629861	37.4181861513696	30.3753082564291	29.7686553424563	27.3676282688572	31.2519280938554	26.7726867016844	29.6818189821783	27.2481948050718	28.5192495028937	30.3618429524517	33.9104482303255	33.6259269082644	34.1910661451241	40.0457777711815	40.1691482743641	34.1742851795468	36.0510222958649	29.5674799384636	31.3465517571671	33.0576347292436	34.1952908660042	33.4373998637331	33.1420889479615	36.3800393803341	31.2690478848759	33.5469543089916	29.3435478801852	28.5724822965242	30.8703510757838	31.1110088419181	31.8971051354614	32.4364889579306	30.6719600666948	32.2255745973117	31.0633263579605
DonorB_P5.mp.profile_sp	34.4487868047563	34.5824881715457	34.4173668153296	35.069003309469	23.2337324460483	23.726045756832	22.2785063466319	26.682069419355	32.4283953733966	31.7249490080563	34.1914794396789	31.9893304446441	0	32.2977102424248	34.8015725960761	31.7917558125946	30.622655335125	24.1092175879664	20.5643793524584	28.8854731077616	30.6187497207071	25.704328062914	32.9760313474628	25.6648628402442	23.1415603086549	33.499097528347	32.87221804746	26.2459539713284	27.3587451082139	32.7654986807538	31.7377149892876	25.3603947669772	23.8741730762212	22.0591683309369	24.556393059297	20.6265504604351	24.3585104461466	23.0816134202059	24.4545988638649	23.404187762374	27.9223791306159	29.6473655822708	28.5652235429252	36.1520113905525	39.3717109456924	29.2023603872935	32.0534614143647	23.3871635379375	24.3662828141643	25.7351255508225	26.9561109252111	26.5115394597705	25.3503333244769	31.0375321830232	26.5049032407329	28.5918825261869	22.3580446695456	22.5985889389458	25.5902076874197	24.638459287335	28.387332802778	28.6011631769876	27.1656909205637	29.6203519554009	23.6468984171289
DonorB_P6.mp.profile_sp	36.4683173558356	35.179148375739	38.0603258748765	36.1325201279876	27.3915037295354	27.3052477144204	27.4948715947854	27.357146644539	23.652553558887	27.4002222494828	29.98206364671	32.1145411109696	32.2977102424248	0	32.9872553846532	22.689806151916	23.8747757519999	26.950682517941	22.5994546195652	32.6574178547127	36.7276936894042	28.7366630231288	36.0525062972162	28.1399250641886	26.4795826502525	37.3016265153401	36.4590791789745	28.3210454244822	31.9373378872069	34.1724962867694	34.1827929174801	25.4813375579116	24.9951421316869	24.1817062703641	28.3912629536681	22.2332578335293	27.1623468888618	22.8603925229826	23.8395653965613	28.3835910145353	30.5924142828097	30.9266800455189	32.3713759610057	38.803013491121	40.7956108197163	30.413138464602	33.7536204224338	24.8044311485686	25.4554709316709	27.5113042330346	28.3040326379334	30.0246167764157	29.902913402786	32.8077648079329	27.5078472157213	31.859644533329	24.7426232031997	23.8302314927537	26.070446841673	26.4463568957683	28.2881780926257	28.6160573575921	29.8516947495383	31.6823788510384	26.250988649652
DonorB_P7.mp.profile_sp	40.254815227194	41.1929300484109	41.6918016141982	39.2171093373922	33.8593160246593	31.6430772899594	34.6739776479484	32.293959614421	32.7803992831151	36.23188317084	35.8164925809048	36.9040042767711	34.8015725960761	32.9872553846532	0	34.673972694055	33.6408790537328	33.0089420103911	30.2229638595839	35.3425622798318	37.953773092544	33.9185607759287	38.0140982398288	33.7001481088906	31.5788989011106	40.6168900077891	39.7316302170454	32.230748520836	34.5618245178859	39.2026537164353	38.3038399533088	31.5765732930526	30.8958000515793	30.34518137674	32.1382500488052	28.8710707222969	31.9821474040846	29.6196835622344	30.4407698838808	31.8717421985226	34.6118357146211	36.9030729421739	36.1131795070008	42.7530066427544	43.8324662083706	35.8673832244236	37.7172767070607	31.2532528045909	31.7767842539316	32.8355050169864	34.1057471722101	34.5747525241135	33.5353024835415	37.0228095531601	34.0155284621735	36.100787859625	29.737685902469	30.0422069849699	33.0914694057595	33.7715634897693	34.4447946189427	34.8551098781997	35.1908258398466	37.0089947791523	32.3748920193111
DonorB_P8.mp.profile_sp	37.6529131936879	36.9761977544681	37.3542141485344	35.1934621458621	26.8922877898609	27.0854500291672	27.6674511848993	29.2547364647465	24.7289480778038	25.9027718615883	29.9255242644202	30.0472180165992	31.7917558125946	22.689806151916	34.673972694055	0	23.546518804916	26.9965962838272	22.8322225048001	32.6988151378476	36.3530187191246	29.5554798513904	36.4471624668011	28.8994512001916	27.1356230884601	36.5724200735863	36.9145708806928	28.0384234472173	31.7858557948355	33.5719973745276	34.6363557276775	24.8404178531583	25.48150147956	23.6021507196265	27.9339095375834	22.3951860473173	26.5937256272906	22.7173401570819	24.3175976416249	28.8679424213904	30.943164493663	33.1881184681851	32.2407473182503	39.0898324688494	40.392864375493	30.7537063565484	34.5179296232749	25.0908567749221	25.9219768545492	28.0529273475321	29.3895313213338	29.1807057246859	30.019895378033	32.5680754456941	26.661876597665	31.309530446667	24.5290624796619	24.057747955363	27.1625981102491	27.4328402933288	28.0744239416802	28.2860373902541	30.1568602094806	31.7736598374931	26.2458566017083
DonorB_P9.mp.profile_sp	38.5984723878936	36.0795468697067	36.4563298738897	35.6494107194694	26.3022118609285	26.5254894256103	27.3545104919832	28.5030036989414	26.9601504196703	26.0715578420333	29.5231396443823	33.1178323396148	30.622655335125	23.8747757519999	33.6408790537328	23.546518804916	0	26.9539070106255	22.6518778516995	31.9953132610033	36.4807409183592	27.8270550570592	36.082504876693	28.38835913212	26.4217346625345	36.9410933150405	35.8615060838936	27.3664855816658	30.2531797564415	34.4103277676914	34.9216516527844	24.0344917709229	24.5351173654273	23.8292739008263	26.8088765600882	21.8989366040415	26.4951484463209	23.1101720213302	24.8180854791668	27.5020575241678	30.0048076715078	32.2545296193604	31.1281510658166	38.2306568169196	39.9542067663373	30.6085769554048	33.7356063946242	24.7860670240789	25.3530427568099	26.4686778950759	27.9491040679006	29.1862340229776	29.2347002910328	31.2667523438328	26.3028000075869	30.5182682927392	24.448301746913	23.860903330738	26.3182387469576	27.1651033120458	27.8125510382766	27.8961436875689	29.5247784374076	32.0275455979093	26.0470470171147
PMCL293_S293.mp.profile_sp	33.5448326697024	32.8446655278966	34.0572863853949	33.6532797801557	22.5808045179036	22.4579248906814	21.7142015467658	22.9567911746973	27.8354577092472	25.2060970739231	28.2706230423869	29.2928605320431	24.1092175879664	26.950682517941	33.0089420103911	26.9965962838272	26.9539070106255	0	15.7753076214049	26.2211260650627	29.959364751465	23.3687487882569	31.7513909477256	24.2176559397609	20.1047959494263	32.7087130969738	32.1981227410164	23.0871358493883	25.2874369195799	31.4828223114232	30.277836987377	21.5538073181369	19.2234697911464	18.6064735525509	21.3939906147084	17.3392825835405	21.6745956883789	17.1809254895871	20.0654271412681	21.9621507779145	25.4193128510251	27.5386997405622	27.2996928892811	35.8132887478583	38.4422888597456	25.5659551735369	29.9986465034144	21.1494322881953	21.9723192429263	24.5592224128992	25.2430635464419	24.0684428877656	23.4471741654332	28.7798096254999	23.0126578228855	26.9837314260355	18.8730291326706	19.9888811045256	24.2693475510819	22.0706235403631	23.4409746222463	23.7632470243439	25.5192795343378	26.829410736582	20.815948806403
PMCL297_S294.mp.profile_sp	30.6438596138413	30.0065164469068	29.7221389006286	29.9054270317105	17.916359859362	17.788130078119	15.8269680599359	18.5737107859758	23.1050164142723	21.1536048024167	24.0640367216187	27.8002101090342	20.5643793524584	22.5994546195652	30.2229638595839	22.8322225048001	22.6518778516995	15.7753076214049	0	23.1087368001242	27.9410306716692	19.6382956723593	28.2546319718081	21.2164547535259	16.0573693469415	29.2376179915548	27.263510529565	18.8000277568423	22.0846293708964	26.7904482242146	25.4726265556335	15.7420740767633	13.9170222417075	12.0908891735373	16.3750384991537	8.8930470505932	16.5000904208008	9.04516061517923	13.1836038735515	17.7232911116593	21.0841770798877	24.043690293135	23.0077468182041	31.6125407987244	34.9518877187496	21.4201155795513	26.3275865994525	14.5095783441097	15.3662767386052	18.6099532273665	19.8149268724013	18.6754704917599	18.8911041252854	24.7333573819863	17.2304436097343	22.6181649641236	12.9923233413015	13.016105650513	17.4548333282419	16.821251410718	19.0771332319289	19.5586368750797	21.3773256824977	22.7768053438602	14.8846969437138
PMCL356.mp.profile_sp	36.1576620553084	37.3521983446935	35.3451054991984	34.68679638941	27.2502442435422	27.0063189792266	26.6186010723027	25.7589643651914	33.0635613620184	31.697720177108	32.7174651670105	33.6446197741833	28.8854731077616	32.6574178547127	35.3425622798318	32.6988151378476	31.9953132610033	26.2211260650627	23.1087368001242	0	29.0699041569741	27.5700546846847	29.8454286092705	27.3477746304104	22.6303597517352	33.3276060746241	32.6160571109327	25.9777575481019	27.5149997194749	32.235240676327	31.7076778383308	25.2758100747269	23.7644656016368	23.3723052384913	26.4336914152857	22.0260978576066	25.8439107261452	23.8129624508241	25.0202493925009	24.0468486642599	28.7370176169415	32.0551977250401	31.3022733974681	38.0530915617981	41.0363842414953	29.2799453128975	31.9143176803787	24.6372681735969	26.057674660928	26.1064977057235	28.139422788125	28.6123012507215	27.7377171063282	32.7393369772867	26.6825998838467	29.2651410994347	23.2660309316453	24.5229010318309	26.7869698492092	25.1813297705412	28.2183991857012	27.3999806175761	30.8252079516851	31.9559268706194	24.7756803433311
